
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: MOriginal.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 41 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  26.04.2017 11:42:16.728

TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , ldtvm     , mshfm_w   , nmot      , plsol     , pus_w     , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl        , rlmax_w   , rlmx_w    , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , wdkba     , wped_w    , zwout     
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , , g/s       , rpm       , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , °C        , °C        , °C        , ms        , °C        , km/h      , DK      , PED     , °KW       
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","WastegateDutyCycle","MassAirFlow","EngineSpeed","BoostPressureDesired","BaroPressure","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall"
    1.200, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 7.44445   , 840       , 830       , 839.063   , 846.68    , 0.820315  , 0.976565  , 0.703127  , 1.09375   , 28.5      , 115.664   , 113.203   , 420       , 26.25     , 26.25     , 2.22667   , 95.25     , 0         , 0         , 0         , -13.5     
    1.250, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 7.13889   , 840       , 830       , 839.063   , 847.148   , 0.820315  , 0.976565  , 0.703127  , 1.09375   , 28.5      , 115.664   , 113.203   , 420       , 26.25     , 26.25     , 2.19734   , 95.25     , 0         , 0         , 0         , -13.5     
    1.300, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 6.94445   , 840       , 830       , 839.063   , 847.344   , 0.839846  , 1.01563   , 0.683596  , 1.13282   , 28.5      , 115.664   , 113.203   , 420       , 26.25     , 26.25     , 2.17867   , 95.25     , 0         , 0         , 0         , -13.5     
    1.350, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 7.11112   , 840       , 830       , 839.063   , 847.344   , 0.839846  , 1.01563   , 0.683596  , 1.13282   , 28.5      , 115.664   , 113.203   , 420       , 26.25     , 26.25     , 2.176     , 95.25     , 0         , 0         , 0         , -13.5     
    1.400, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 6.94445   , 840       , 830       , 839.063   , 846.016   , 0.820315  , 1.05469   , 0.664064  , 1.13282   , 28.5      , 115.664   , 113.203   , 420       , 26.25     , 26.25     , 2.176     , 95.25     , 0         , 0         , 0         , -13.5     
    1.450, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 6.75001   , 840       , 830       , 839.063   , 845.352   , 0.820315  , 1.05469   , 0.664064  , 1.13282   , 27.75     , 115.664   , 113.203   , 420       , 26.25     , 26.25     , 2.14134   , 95.25     , 0         , 0         , 0         , -13.5     
    1.500, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 7.13889   , 840       , 830       , 839.063   , 847.266   , 0.800783  , 1.05469   , 0.664064  , 1.17188   , 27.75     , 115.664   , 113.203   , 420       , 26.25     , 26.25     , 2.17067   , 95.25     , 0         , 0         , 0         , -13.5     
    1.550, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 6.94445   , 840       , 830       , 839.063   , 847.344   , 0.800783  , 1.05469   , 0.664064  , 1.17188   , 27.75     , 115.664   , 113.203   , 420       , 26.25     , 26.25     , 2.15467   , 95.25     , 0         , 0         , 0         , -13.5     
    1.600, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 7.11112   , 840       , 830       , 839.063   , 847.266   , 0.800783  , 1.09375   , 0.664064  , 1.21094   , 27.75     , 115.664   , 113.203   , 420       , 26.25     , 26.25     , 2.17867   , 95.25     , 0         , 0         , 0         , -13.5     
    1.650, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 7.13889   , 840       , 830       , 839.063   , 847.344   , 0.800783  , 1.09375   , 0.664064  , 1.21094   , 27.75     , 115.664   , 113.203   , 420       , 26.25     , 26.25     , 2.17867   , 95.25     , 0         , 0         , 0         , -13.5     
